,name,location,place,coordinates,latitude,longitude
85,English Studio,"{'type': 'Point', 'coordinates': [-0.1197451932, 51.5177288843]}",school,"[51.5177288843, -0.1197451932]",51.5177288843,-0.1197451932
86,London School of Economics and Political Science (LSE),"{'type': 'Point', 'coordinates': [-0.1166009903, 51.5146643537]}",school,"[51.5146643537, -0.1166009903]",51.5146643537,-0.1166009903
87,Le Pain Quotidien,"{'type': 'Point', 'coordinates': [-0.117289, 51.505478]}",vegan,"[51.505478, -0.117289]",51.505478,-0.117289
88,Honest Burgers,"{'type': 'Point', 'coordinates': [-0.1169535, 51.5053683]}",vegan,"[51.5053683, -0.1169535]",51.5053683,-0.1169535
89,Royal Festival Hall,"{'type': 'Point', 'coordinates': [-0.1166672938, 51.5058377538]}",party,"[51.5058377538, -0.1166672938]",51.5058377538,-0.1166672938
90,Mary Ward Centre Cafe,"{'type': 'Point', 'coordinates': [-0.1219259943, 51.5211393015]}",vegan,"[51.5211393015, -0.1219259943]",51.5211393015,-0.1219259943
91,Horn OK Please,"{'type': 'Point', 'coordinates': [-0.1163308389, 51.5053576032]}",vegan,"[51.5053576032, -0.1163308389]",51.5053576032,-0.1163308389
92,University of the Arts London (UAL),"{'type': 'Point', 'coordinates': [-0.1162974299, 51.5180005711]}",school,"[51.5180005711, -0.1162974299]",51.5180005711,-0.1162974299
93,Starbucks,"{'type': 'Point', 'coordinates': [-0.128263, 51.52526]}",starbucks,"[51.52526, -0.128263]",51.52526,-0.128263
94,Kimchee,"{'type': 'Point', 'coordinates': [-0.1163799644, 51.5182072727]}",party,"[51.5182072727, -0.1163799644]",51.5182072727,-0.1163799644
95,Starbucks,"{'type': 'Point', 'coordinates': [-0.117661, 51.501962]}",starbucks,"[51.501962, -0.117661]",51.501962,-0.117661
96,Academy Class,"{'type': 'Point', 'coordinates': [-0.1162235969, 51.5028805129]}",school,"[51.5028805129, -0.1162235969]",51.5028805129,-0.1162235969
97,Starbucks,"{'type': 'Point', 'coordinates': [-0.123353, 51.52392]}",starbucks,"[51.52392, -0.123353]",51.52392,-0.123353
98,London Waterloo Academy,"{'type': 'Point', 'coordinates': [-0.115453, 51.503339]}",school,"[51.503339, -0.115453]",51.503339,-0.115453
99,King's College London - Waterloo Campus,"{'type': 'Point', 'coordinates': [-0.1121662031, 51.5055975107]}",school,"[51.5055975107, -0.1121662031]",51.5055975107,-0.1121662031
100,Gaming Company,"{'type': 'Point', 'coordinates': [-0.1392447, 51.5107737]}",company,"[51.5107737, -0.1392447]",51.5107737,-0.1392447
