,name,latitude,longitude,geometry
0,Madison Square Garden,40.75075196505169,-73.99354219436646,POINT (-73.99354219436646 40.75075196505169)
1,Barclays Center,40.68297035976135,-73.97590634951764,POINT (-73.97590634951764 40.68297035976135)
2,The Dalton School Gym,40.77923344592766,-73.95325541496277,POINT (-73.95325541496277 40.77923344592766)
3,Turner Suite @ Barclays Center,40.683045816923425,-73.97575138679471,POINT (-73.97575138679471 40.68304581692342)
